Epoch: 10/1000, loss: 67.42088501701397, correct: 63
Epoch: 20/1000, loss: 64.93378548247574, correct: 63
Epoch: 30/1000, loss: 63.3820811879083, correct: 63
Epoch: 40/1000, loss: 62.395422623469166, correct: 63
Epoch: 50/1000, loss: 61.41126854654763, correct: 63
Epoch: 60/1000, loss: 60.3496678162069, correct: 63
Epoch: 70/1000, loss: 59.07439966196533, correct: 63
Epoch: 80/1000, loss: 57.87418631156653, correct: 63
Epoch: 90/1000, loss: 56.731318026167834, correct: 63
Epoch: 100/1000, loss: 55.63606346337603, correct: 63
Epoch: 110/1000, loss: 54.50174031430634, correct: 69
Epoch: 120/1000, loss: 53.384313213383344, correct: 74
Epoch: 130/1000, loss: 52.25886351836939, correct: 75
Epoch: 140/1000, loss: 51.135548177552856, correct: 76
Epoch: 150/1000, loss: 50.03629916028581, correct: 79
Epoch: 160/1000, loss: 48.940126420004084, correct: 81
Epoch: 170/1000, loss: 47.78425408443375, correct: 80
Epoch: 180/1000, loss: 46.625159187329956, correct: 82
Epoch: 190/1000, loss: 45.416760594105874, correct: 84
Epoch: 200/1000, loss: 43.97809243893759, correct: 86
Epoch: 210/1000, loss: 42.21222348354847, correct: 88
Epoch: 220/1000, loss: 40.335688408776065, correct: 90
Epoch: 230/1000, loss: 39.0314028666582, correct: 91
Epoch: 240/1000, loss: 37.81468810571161, correct: 92
Epoch: 250/1000, loss: 36.72907545262259, correct: 92
Epoch: 260/1000, loss: 35.7103071245622, correct: 93
Epoch: 270/1000, loss: 34.75575981298649, correct: 95
Epoch: 280/1000, loss: 33.82370724767932, correct: 97
Epoch: 290/1000, loss: 32.93079271921017, correct: 97
Epoch: 300/1000, loss: 32.0464704876043, correct: 97
Epoch: 310/1000, loss: 31.24237487220217, correct: 97
Epoch: 320/1000, loss: 30.48157505392885, correct: 97
Epoch: 330/1000, loss: 29.75894193778097, correct: 97
Epoch: 340/1000, loss: 29.06301385002584, correct: 97
Epoch: 350/1000, loss: 28.392491677902825, correct: 97
Epoch: 360/1000, loss: 27.74304284678357, correct: 97
Epoch: 370/1000, loss: 27.117088293908186, correct: 97
Epoch: 380/1000, loss: 26.512301043700425, correct: 97
Epoch: 390/1000, loss: 25.929111200421882, correct: 97
Epoch: 400/1000, loss: 25.366399446637416, correct: 97
Epoch: 410/1000, loss: 24.824324771676594, correct: 97
Epoch: 420/1000, loss: 24.289507434244634, correct: 97
Epoch: 430/1000, loss: 23.764952712642472, correct: 97
Epoch: 440/1000, loss: 23.260234590965084, correct: 97
Epoch: 450/1000, loss: 22.781189244484715, correct: 98
Epoch: 460/1000, loss: 22.316675503038056, correct: 98
Epoch: 470/1000, loss: 21.871048328919805, correct: 98
Epoch: 480/1000, loss: 21.43878440934337, correct: 98
Epoch: 490/1000, loss: 21.020519959707237, correct: 98
Epoch: 500/1000, loss: 20.615840169774117, correct: 98
Epoch: 510/1000, loss: 20.224491203671242, correct: 98
Epoch: 520/1000, loss: 19.84549564319125, correct: 98
Epoch: 530/1000, loss: 19.478510586936693, correct: 98
Epoch: 540/1000, loss: 19.110892594763982, correct: 98
Epoch: 550/1000, loss: 18.756823216607298, correct: 98
Epoch: 560/1000, loss: 18.42005435888641, correct: 98
Epoch: 570/1000, loss: 18.09660255284272, correct: 98
Epoch: 580/1000, loss: 17.786514806546304, correct: 99
Epoch: 590/1000, loss: 17.48675854043988, correct: 99
Epoch: 600/1000, loss: 17.193415794957822, correct: 99
Epoch: 610/1000, loss: 16.9079838912736, correct: 99
Epoch: 620/1000, loss: 16.632236674345606, correct: 99
Epoch: 630/1000, loss: 16.36492002878561, correct: 99
Epoch: 640/1000, loss: 16.10588579512255, correct: 99
Epoch: 650/1000, loss: 15.853760779096016, correct: 99
Epoch: 660/1000, loss: 15.6102619580024, correct: 99
Epoch: 670/1000, loss: 15.373909117728136, correct: 99
Epoch: 680/1000, loss: 15.14466293911839, correct: 99
Epoch: 690/1000, loss: 14.922299415397966, correct: 99
Epoch: 700/1000, loss: 14.706819024457788, correct: 99
Epoch: 710/1000, loss: 14.496164117839205, correct: 99
Epoch: 720/1000, loss: 14.291816221779625, correct: 99
Epoch: 730/1000, loss: 14.092908504405639, correct: 99
Epoch: 740/1000, loss: 13.89835530856265, correct: 100
Epoch: 750/1000, loss: 13.708838177576183, correct: 100
Epoch: 760/1000, loss: 13.524501611804475, correct: 100
Epoch: 770/1000, loss: 13.34534859618546, correct: 100
Epoch: 780/1000, loss: 13.171076337947026, correct: 100
Epoch: 790/1000, loss: 13.00191507706266, correct: 100
Epoch: 800/1000, loss: 12.837455976342987, correct: 100
Epoch: 810/1000, loss: 12.675941448089493, correct: 100
Epoch: 820/1000, loss: 12.519090310178115, correct: 100
Epoch: 830/1000, loss: 12.366821111041798, correct: 100
Epoch: 840/1000, loss: 12.216760367940653, correct: 100
Epoch: 850/1000, loss: 12.071320704168894, correct: 100
Epoch: 860/1000, loss: 11.92915616268448, correct: 100
Epoch: 870/1000, loss: 11.790485692472277, correct: 100
Epoch: 880/1000, loss: 11.654742067760354, correct: 100
Epoch: 890/1000, loss: 11.521923484108756, correct: 100
Epoch: 900/1000, loss: 11.392383818783053, correct: 100
Epoch: 910/1000, loss: 11.265478250741976, correct: 100
Epoch: 920/1000, loss: 11.141655848437578, correct: 100
Epoch: 930/1000, loss: 11.021245443628242, correct: 100
Epoch: 940/1000, loss: 10.901799727120512, correct: 100
Epoch: 950/1000, loss: 10.785475258448521, correct: 100
Epoch: 960/1000, loss: 10.671681665474859, correct: 100
Epoch: 970/1000, loss: 10.560692377399317, correct: 100
Epoch: 980/1000, loss: 10.450927370368849, correct: 100
Epoch: 990/1000, loss: 10.344203899595781, correct: 100
Epoch: 1000/1000, loss: 10.239225273956135, correct: 100
